,Rank,sample_id,factor,cell_line,cell_type,tissue,DNase_p_value,ChIP-seq_p_value,H3K27ac_p_value,summary_p_value
378,379,71168,AR,LNCaP,Epithelium,Prostate,4.630821303869927e-12,3.452886282089732e-17,7.101583464554873e-09,1.0358581559308508e-16
379,380,56265,AR,CWR22Pc,Epithelium,Prostate,5.10025870922296e-12,3.500392139261023e-17,6.069553650916016e-10,1.0501103741743782e-16
380,381,64901,MBD2,MCF-7,Epithelium,Breast,1.0218679344120564e-12,3.636112653888784e-17,3.012561472609245e-11,1.090793666967958e-16
381,382,73525,BRD4,SUM159PT,mammary carcinoma cell line,Breast,1.9528694920677288e-11,3.639474883836811e-17,1.0021248831326966e-07,1.0918404299481661e-16
382,383,74838,JMJD6,None,3565 cells,None,1.5017202687516464e-13,3.8419430946633685e-17,2.0548593192762414e-11,1.152286056718374e-16
383,384,64016,CEBPB,A549,Epithelium,Lung,1.5039121489879167e-15,4.0205571374358985e-17,3.7720313142734494e-14,1.1735408457122082e-16
384,385,67718,CREB1,LNCaP,Epithelium,Prostate,1.1677272839027395e-12,4.1598500623649864e-17,8.463536698049735e-11,1.2479099523962695e-16
385,386,45867,MAZ,IMR90,Fibroblast,Lung,2.947712637625902e-14,4.1712208466362726e-17,2.692989958101742e-10,1.2495987198959143e-16
386,387,52057,GATA2,LNCaP,Epithelium,Prostate,3.537460823148479e-09,4.278507954222103e-17,1.0385314997946002e-07,1.283552370213456e-16
387,388,38182,MYC,FB0167P,Fibroblast,None,9.939730147594356e-17,1.2896002348921489e-16,2.2106457643016814e-16,1.342970404965548e-16
388,389,45750,E2F1,HeLa-S3,Epithelium,Cervix,1.3869005746920775e-14,4.5344724686411483e-17,1.7038149961278866e-13,1.3555500927985392e-16
389,390,71208,PIAS1,LNCaP,Epithelium,Prostate,5.610200073883566e-12,4.5622113335599544e-17,5.410223368603007e-10,1.3686521547137931e-16
390,391,69812,NELFE,MCF-7,Human Breast Cancer Cell,Breast,2.797304781029024e-16,5.737076080934169e-17,1.0534009394802831e-14,1.4217920384889042e-16
391,392,73513,BRD4,SUM159PT,mammary carcinoma cell line,Breast,1.0436207864212956e-10,4.922041861142039e-17,2.3569355860883204e-07,1.4766118616179177e-16
392,393,74346,NEUROD1,D-341,None,None,8.975548468254606e-15,4.966329683474702e-17,2.8521306669276815e-13,1.481462130714414e-16
393,394,51054,FOXA1,VCaP,Epithelium,Prostate,1.954428103985508e-11,4.979676135087696e-17,3.315821317713467e-10,1.493898809870555e-16
394,395,36028,RB1,None,Epithelium,Cervix,1.106225089137815e-13,5.1567417946109626e-17,2.5418937383350577e-12,1.5462704278381795e-16
395,396,70178,DNMT3B,None,Stem cell,Foreskin,7.585508956822766e-16,5.752798605108972e-17,3.000618452373985e-15,1.575976400620286e-16
396,397,45852,GATA2,None,Endothelial Cell,Umbilical Vein,2.443692800812784e-12,5.3399543936720047e-17,1.1466950996797855e-10,1.601950567056033e-16
397,398,73545,BRD4,SUM159PT,mammary carcinoma cell line,Breast,4.986411679307059e-14,5.382299510041243e-17,5.34677942556626e-12,1.6129320719509847e-16
398,399,6568,FOXA1,MCF-7,Epithelium,Breast,7.549164438700153e-10,5.4519974170011364e-17,1.0282713188138933e-06,1.6355991068908556e-16
399,400,74351,OTX2,D-341,None,None,3.638992168064919e-11,5.74421075370186e-17,6.190035877091101e-09,1.723260489925139e-16
400,401,43859,AR,VCaP,Epithelium,Prostate,5.76949140433109e-13,5.788348314193664e-17,1.5267451638372823e-11,1.736323718404069e-16
401,402,67714,CREB1,LNCaP,Epithelium,Prostate,5.636522358625562e-13,5.892600643042226e-17,6.059282123611955e-11,1.767593694612004e-16
402,403,53593,MED1,None,Adipocyte,None,1.090255685235525e-13,5.897631226333661e-17,2.013633380492728e-11,1.7683280815754817e-16
403,404,71922,GTF2B,K562,None,Haematopoietic and lymphoid,2.621699924794669e-16,8.814062587978283e-17,1.169086185846439e-15,1.8715934511491488e-16
404,405,67519,GATA3,MDA-MB-231,Epithelium,Mammary Gland,7.550569167334715e-09,6.267541958804027e-17,3.8968577486252085e-08,1.8802625690094754e-16
405,406,71933,MYC,U2OS,None,Bone,3.450404244918571e-14,6.528059397568326e-17,1.1763860910958086e-12,1.9546195585555285e-16
406,407,71212,FOXA1,LNCaP,Epithelium,Prostate,7.027317043525463e-10,6.548611267179135e-17,5.888482463098364e-07,1.964583196859817e-16
407,408,67615,ELF3,CFPAC-1,None,Pancreatic ductal,1.0940680909561154e-12,6.662286718777012e-17,2.467210265509677e-08,1.9985643074682868e-16
408,409,33150,GATA3,MCF-7,Epithelium,Breast,6.600879674457951e-11,6.709294294343215e-17,6.490340579979823e-07,2.012786242251058e-16
409,410,50894,SPI1,None,None,None,9.782458126221927e-15,6.902135353686265e-17,8.083283407618556e-13,2.0559453314110583e-16
410,411,58316,MED1,LNCaP-abl,Epithelium,Prostate,3.634980257923972e-15,7.07029503676161e-17,1.3237724246848093e-13,2.0794108664952175e-16
411,412,54611,TEAD1,SF268,None,None,2.0969888774903937e-13,6.977689006649221e-17,4.305381281556489e-10,2.0926101345496167e-16
412,413,68856,FOXA1,ZR-75-1,Embryonic Stem Cell,Breast,1.2719731826688543e-10,6.999984510964571e-17,2.2552500845865715e-07,2.0999941969586562e-16
413,414,46327,SIN3A,MCF-7,Epithelium,Breast,1.6081382412988976e-11,7.495518218793085e-17,3.983484047098734e-10,2.248644561620096e-16
414,415,2321,FOXA1,MCF-7,Epithelium,Breast,2.96457209611867e-11,7.803748922151693e-17,1.3007352452921695e-07,2.3411185126387753e-16
415,416,8122,MYC,NHEK,Keratinocyte,Skin,4.07247059067015e-15,8.043283893646898e-17,3.3595115527742726e-14,2.360434284686418e-16
416,417,46348,TEAD4,SK-N-SH,Neuroblastoma cell,Brain,1.354062138406328e-09,7.890233481398001e-17,2.215455827035355e-07,2.367069905645237e-16
417,418,76279,CALU,Calu-3,None,Lung,4.513888394877921e-14,7.911732799757152e-17,4.520103063330938e-12,2.369329607197009e-16
418,419,1742,GATA2,None,Endothelial Cell,Umbilical Vein,1.167877170610928e-12,8.056882567237856e-17,1.3370685029602194e-10,2.4168965843535233e-16
419,420,46364,YY1,SK-N-SH_RA,Neuron,Brain,1.594025234527693e-12,8.227408042507901e-17,1.5336545052202725e-10,2.4680937018453417e-16
420,421,64927,HES2,A549,Epithelium,Lung,2.179223970000019e-15,9.339181761382598e-17,1.1869663266097208e-14,2.668081700784634e-16
421,422,45772,FOS,HeLa-S3,Epithelium,Cervix,8.740596601521772e-13,8.952957652262929e-17,1.6956899897086958e-10,2.685610806467134e-16
422,423,45989,MYC,MCF-7,Epithelium,Breast,5.481721261590002e-12,9.630455414171861e-17,1.3050358395657781e-11,2.889064548691062e-16
423,424,33496,FOXA1,MCF-7,Epithelium,Breast,3.5130670969871805e-10,9.862595066935611e-17,1.1063082480056446e-07,2.9587776867948224e-16
424,425,56665,FOXA1,LHSAR,Epithelium,Prostate,4.046489241363439e-12,1.0536641276693956e-16,1.2171431874748231e-08,3.1609100496960286e-16
425,426,33197,MAX,U87,None,Brain,2.5857737431329363e-12,1.108313468970125e-16,1.231381407636395e-09,3.3306690738754696e-16
426,427,43858,AR,VCaP,Epithelium,Prostate,1.9961360774230775e-12,1.2007247239202564e-16,2.58872369652707e-10,3.3306690738754696e-16
427,428,46352,MEF2A,SK-N-SH,Neuroblastoma cell,Brain,3.2389568898052324e-13,1.2923885064689884e-16,4.682015746862425e-11,3.3306690738754696e-16
428,429,73505,BRD4,SUM159PT,mammary carcinoma cell line,Breast,4.211278406277668e-13,1.2393538136291567e-16,8.81327868690645e-10,3.3306690738754696e-16
429,430,46081,NR3C1,A549,Epithelium,Lung,2.4253145586955257e-13,1.4604029485816416e-16,1.240488179896001e-11,4.440892098500626e-16
430,431,48071,RELA,None,Endothelial Cell,Umbilical Vein,2.3077101339200072e-14,1.33143176869072e-16,2.3617481821850898e-12,4.440892098500626e-16
431,432,49852,WDR5,SK-N-MC,None,Brain,2.0338413272121875e-13,1.3237040897422165e-16,2.7689152234102587e-11,4.440892098500626e-16
432,433,53325,SUPT5H,HeLa,Epithelium,Cervix,1.2403852738073216e-13,1.528936311857437e-16,4.401112196422701e-11,4.440892098500626e-16
433,434,70956,BRD4,Raji,B Lymphocyte,Blood,4.465397816533524e-16,4.560546107485068e-16,4.492318707328993e-16,4.440892098500626e-16
434,435,33495,ESR1,TAM_R,Epithelium,Mammary Gland,1.1454439982140008e-09,1.6858129250070222e-16,1.0068750346104136e-05,4.996003610813204e-16
435,436,33506,ESR1,None,Epithelium,Mammary Gland,4.0822052859903584e-13,1.6756539800917581e-16,4.423436716301324e-11,4.996003610813204e-16
436,437,56670,AR,LHSAR,Epithelium,Prostate,5.904320088590824e-12,1.7284789919089695e-16,6.926082086803085e-09,4.996003610813204e-16
437,438,62718,FOSL2,A549,Epithelium,Lung,4.073290823380451e-13,1.6108069105944483e-16,2.169387117781167e-10,4.996003610813204e-16
438,439,67456,E2F1,None,Mesenchymal Stem Cell,Umbilical Cord,1.3907149271627726e-14,1.5608025097852576e-16,3.8282919202574195e-13,4.996003610813204e-16
439,440,72878,MYF5,Rh18,rhabdomyosarcoma,None,1.7952054636133194e-13,1.6722333861485168e-16,4.015703205303356e-11,4.996003610813204e-16
440,441,49008,ELL2,HeLa,Epithelium,Cervix,1.7318835715434e-15,2.0835938706432527e-16,9.115726947289637e-15,5.551115123125783e-16
441,442,50408,PPARG,hMADS-3,Adipocyte,Adipose,2.404171148687072e-12,1.8225739315903504e-16,2.1105434927064507e-08,5.551115123125783e-16
442,443,54397,GATA2,LNCaP,Epithelium,Prostate,3.698363318279464e-10,1.9303881321813518e-16,2.2469272059297205e-09,5.551115123125783e-16
443,444,69800,NR1H3,HT29,colorectal adenocarcinoma,None,1.5195744537323275e-12,1.8828189028842271e-16,9.880695542527464e-10,5.551115123125783e-16
444,445,76149,MYC,LNCaP,Epithelium,Prostate,1.6587231159440495e-12,1.8249526539672226e-16,2.8978014996520637e-11,5.551115123125783e-16
445,446,8806,CHD1,H1,Embryonic Stem Cell,Embryo,2.101122758798037e-15,3.4321964666561117e-16,5.997796670258241e-16,5.551115123125783e-16
446,447,43855,AR,VCaP,Epithelium,Prostate,1.3469819807054805e-10,2.237995592936359e-16,4.8612407794500354e-08,6.106226635438361e-16
447,448,71871,MED1,A549,Epithelium,Lung,1.0423099502777797e-14,2.2012749122487475e-16,1.9191097753810992e-13,6.106226635438361e-16
448,449,43397,FOXA1,LNCaP,Epithelium,Prostate,1.0043761135580389e-08,2.337654968451808e-16,2.2621294937574487e-06,7.216449660063518e-16
449,450,54255,NR3C2,None,None,Kidney,6.946268107871202e-16,7.400427985182024e-16,7.439817687832774e-16,7.216449660063518e-16
450,451,63983,FOSL2,A549,Epithelium,Lung,7.175317415765313e-14,2.437989085492527e-16,6.841928336886984e-12,7.216449660063518e-16
451,452,73524,BRD4,SUM159PT,mammary carcinoma cell line,Breast,6.37939426595651e-11,2.3462261435511965e-16,1.0293402887443783e-06,7.216449660063518e-16
452,453,46213,JUND,HCT-116,None,Colon,2.2435496005684426e-12,2.6830900648176265e-16,7.059958185469233e-10,7.771561172376096e-16
453,454,55669,PAF1,HCT-116,None,Colon,4.615292317696938e-15,2.805014816369662e-16,9.588919603588118e-13,7.771561172376096e-16
454,455,56669,AR,LHSAR,Epithelium,Prostate,6.428171148133539e-10,2.621015369322646e-16,4.640372156960447e-07,7.771561172376096e-16
455,456,73508,BRD4,SUM159PT,mammary carcinoma cell line,Breast,3.6730708756939696e-14,2.529877813898781e-16,2.2411339962630188e-11,7.771561172376096e-16
456,457,73511,BRD4,SUM159PT,mammary carcinoma cell line,Breast,7.324649896976617e-11,2.52872021289517e-16,5.711289993589853e-08,7.771561172376096e-16
457,458,37094,AR,VCaP,Epithelium,Prostate,3.4152633901384995e-09,2.8660354258403623e-16,5.595112178144852e-07,8.326672684688674e-16
458,459,5443,FLI1,None,Endothelial Cell,Umbilical Vein,3.6901694893789614e-14,3.009376093148592e-16,1.134526373866103e-11,9.43689570931383e-16
459,460,63098,SMAD5,GM12878,B Lymphocyte,Blood,4.187437930195162e-15,3.3277756903800513e-16,7.815383829356548e-14,9.43689570931383e-16
460,461,67730,FOXA1,LNCaP,Epithelium,Prostate,1.3693011567347699e-09,3.0190244521285995e-16,2.239076775419877e-06,9.43689570931383e-16
461,462,49012,CPSF3L,HeLa,Epithelium,Cervix,9.334213161143211e-16,8.483537052077084e-16,1.1689343913656922e-15,9.992007221626409e-16
462,463,50693,MED1,hMADS-3,Adipocyte,Adipose,9.028129784533071e-14,3.285269932482364e-16,2.2624975260129737e-11,9.992007221626409e-16
463,464,63150,SRSF3,K562,Erythroblast,Bone Marrow,9.49715834122449e-16,7.294421089965594e-16,1.6815029748439936e-15,9.992007221626409e-16
464,465,71872,NIPBL,A549,Epithelium,Lung,5.905919287444655e-15,3.514989237683812e-16,4.6832663139733344e-14,9.992007221626409e-16
465,466,72049,MYC,Gen2.2,None,None,1.1903283089216948e-13,3.3279099242770736e-16,2.020350724586494e-12,9.992007221626409e-16
466,467,69809,NELFE,MCF-7,Human Breast Cancer Cell,Breast,2.980509101012731e-14,3.6005684023135644e-16,1.3591138342851333e-12,1.0547118733938987e-15
467,468,38591,E2F7,IMR90,Fibroblast,Lung,9.98449711321235e-12,3.739126333033416e-16,7.606067453367581e-09,1.1102230246251565e-15
468,469,50162,ARRB1,C4-2,Epithelium,None,2.679045849220914e-12,3.725978744928006e-16,1.5861329785580092e-10,1.1102230246251565e-15
469,470,63004,CEBPB,A549,Epithelium,Lung,3.313505650593771e-14,3.912332683556541e-16,1.3575201174643516e-12,1.1102230246251565e-15
470,471,55664,PAF1,HCT-116,None,Colon,1.6408828364636468e-13,3.909460837973081e-16,8.110313654691332e-12,1.2212453270876722e-15
471,472,5679,FOXA1,LNCaP,Epithelium,Prostate,1.3722260806097068e-09,3.94237088437473e-16,1.5908016770823781e-06,1.2212453270876722e-15
472,473,64671,CEBPB,A549,Epithelium,Lung,4.765476599404089e-14,3.984951655336212e-16,2.135983682098587e-12,1.2212453270876722e-15
473,474,67710,CREB1,LNCaP,Epithelium,Prostate,2.8564220097011774e-11,3.99319066556579e-16,1.3904480699117644e-09,1.2212453270876722e-15
474,475,71207,PIAS1,LNCaP,Epithelium,Prostate,5.000068101886667e-10,4.0069060528994356e-16,3.985316059452209e-08,1.2212453270876722e-15
475,476,50691,MED1,hMADS-3,Adipocyte,Adipose,5.9920106809402805e-12,4.251241904592847e-16,2.250375065475232e-09,1.27675647831893e-15
476,477,68855,FOXA1,ZR-75-1,Embryonic Stem Cell,Breast,6.8722257990454e-10,4.1937208416463315e-16,6.753116721016938e-07,1.27675647831893e-15
477,478,36252,NKX3-1,LNCaP,Epithelium,Prostate,5.2538411889287e-09,4.583111458190795e-16,1.0680872626948538e-07,1.3322676295501878e-15
478,479,62959,NFE2L2,IMR90,Fibroblast,Lung,4.751687324676709e-14,4.412106408312894e-16,1.7904112584678243e-12,1.3322676295501878e-15
479,480,36845,AR,MDA-MB-453,Epithelium,Mammary Gland,8.064544432600361e-11,5.013182231718675e-16,1.5951963387511966e-08,1.4988010832439613e-15
480,481,39365,SMAD3,LX2,Hepatic Stellate Cell,None,9.178533812973225e-13,4.883723581821395e-16,1.676724503094184e-09,1.4988010832439613e-15
481,482,39495,FOXM1,MCF-7,Epithelium,Breast,2.3075970293719778e-12,5.046261266571645e-16,5.015424761796962e-10,1.4988010832439613e-15
482,483,46072,FOSL2,A549,Epithelium,Lung,3.116796571513681e-09,5.518631352424692e-16,1.1388009488221855e-06,1.609823385706477e-15
483,484,71217,FOXA1,LNCaP,Epithelium,Prostate,9.632848905775328e-10,5.321844721734483e-16,3.63154229727895e-07,1.609823385706477e-15
484,485,46337,REST,PFSK-1,Neuron,Brain,1.7289838897114267e-13,5.779144181458485e-16,1.0545698291799449e-12,1.7208456881689926e-15
485,486,63081,FOSL2,A549,Epithelium,Lung,1.0984592849231154e-12,5.606954795253059e-16,2.0872176437339935e-10,1.7208456881689926e-15
486,487,69815,NELFE,MCF-7,Human Breast Cancer Cell,Breast,3.1586780338442905e-14,5.6724374811201e-16,1.2680930367340346e-12,1.7208456881689926e-15
487,488,46077,TAF1,A549,Epithelium,Lung,3.5458902491571822e-12,6.149022158875876e-16,9.363231632960354e-11,1.8318679906315083e-15
488,489,64670,CEBPB,A549,Epithelium,Lung,6.146542935937697e-14,6.566417400963773e-16,1.4086901082876223e-12,1.9984014443252818e-15
489,490,75561,BRD4,None,None,Retina,1.1859976000340236e-13,6.544588414725909e-16,9.921583994901585e-12,1.9984014443252818e-15
490,491,50692,MED1,hMADS-3,Adipocyte,Adipose,7.957786452737418e-13,6.946372857251255e-16,3.4666685569842985e-10,2.0539125955565396e-15
491,492,40376,FOXA1,ZR-75-1,Epithelium,Mammary Gland,3.0845571885304198e-12,7.128694693162533e-16,8.617789561678926e-09,2.1094237467877974e-15
492,493,49870,ELF1,SK-N-MC,None,Brain,3.82489958272686e-13,7.416716973676351e-16,8.471019616977611e-11,2.1649348980190553e-15
493,494,56633,JUN,MDA-MB-231,Epithelium,Breast,7.427736815441606e-14,7.323158805749028e-16,9.360683518695609e-12,2.1649348980190553e-15
494,495,55512,YAP1,IMR90,Fibroblast,Lung,3.1928316471694695e-12,7.491806929814092e-16,4.603497349648768e-09,2.275957200481571e-15
495,496,35766,AR,C4-2B,Epithelium,Prostate,4.9876484010895854e-14,8.935632134770096e-16,2.372217285206068e-14,2.55351295663786e-15
496,497,33518,FOXA1,MCF-7,Epithelium,Breast,9.581358016240636e-09,9.02851947290018e-16,3.358964696268781e-07,2.6645352591003757e-15
497,498,35315,GRHL2,None,Epithelium,Bronchia,1.8614240732565898e-10,8.982887718003278e-16,2.4437264737043157e-07,2.6645352591003757e-15
498,499,4929,TAFII,H1,Embryonic Stem Cell,Embryo,1.6708611383092035e-14,9.440297968096932e-16,1.1290691572692206e-13,2.6645352591003757e-15
499,500,74432,TFAP4,SNU175,Colorectal cancer cell line,None,1.505122972330403e-12,8.980374143558447e-16,1.3675295889492875e-10,2.6645352591003757e-15
500,501,2735,FOXA1,T47D,Epithelium,Mammary Gland,2.7700252663909227e-11,9.257247902285035e-16,7.526251113277622e-09,2.7755575615628914e-15
501,502,62939,CEBPB,A549,Epithelium,Lung,3.394624165136663e-14,9.392946762833237e-16,1.9337580847476403e-12,2.7755575615628914e-15
502,503,34396,MECP2,IMR90,Fibroblast,Lung,5.295411260921019e-11,9.5314568252997e-16,2.0425449312070423e-10,2.831068712794149e-15
503,504,56122,AR,None,None,Prostate,6.197587444754403e-12,9.572571846350629e-16,1.0878050833246996e-09,2.886579864025407e-15
504,505,76682,ASXL1,HEK293,None,None,6.589778127409032e-14,9.718543561655668e-16,4.8433313733046975e-11,2.886579864025407e-15
505,506,52360,MYC,P493-6,B cell lymphoma,None,2.1886337389428755e-15,3.15312302759797e-15,3.942051966060529e-15,2.942091015256665e-15
506,507,37605,FAIRE,None,Epithelium,Mammary Gland,6.550339607502232e-12,1.0089528782431334e-15,6.564632788953829e-10,3.0531133177191805e-15
507,508,33174,MYC,U87,None,Brain,8.34087078690436e-12,1.0387104334352474e-15,1.0751639546704448e-10,3.2751579226442118e-15
508,509,69813,NELFE,MCF-7,Human Breast Cancer Cell,Breast,1.2010904919084554e-13,1.1296197980146296e-15,2.7480803386039985e-12,3.3861802251067274e-15
509,510,68869,FOXA1,MCF-7,Embryonic Stem Cell,Breast,1.4014485927331977e-10,1.2101616344244327e-15,2.246422457670263e-08,3.6637359812630166e-15
510,511,74143,FOXA1,T47D,None,Breast,5.119509019944402e-12,1.1941931556507067e-15,3.5484805640063647e-09,3.6637359812630166e-15
511,512,47102,MYC,HeLa,Epithelium,Cervix,6.903622257484805e-13,1.2882778430836203e-15,1.857682250134157e-11,3.885780586188048e-15
512,513,63298,FOSL2,A549,Epithelium,Lung,5.575413435541864e-13,1.2855517060877992e-15,2.050801641896584e-10,3.885780586188048e-15
513,514,65125,PRDM6,HEK293,Epithelium,Embryonic Kidney,4.764903337706012e-13,1.2984837085090177e-15,5.258454632498529e-11,3.885780586188048e-15
514,515,71137,BRD4,MCF-10A,Epithelium,None,1.2410623075844174e-14,1.477301620025659e-15,2.3191376522468782e-12,4.052314039881821e-15
515,516,38183,MYC,MCF-7,Epithelium,Breast,1.3429176988137923e-10,1.3137924203933434e-15,2.4463383751690994e-10,4.107825191113079e-15
516,517,56256,AR,LNCaP,Epithelium,Prostate,4.8303212816567824e-11,1.3502328166519224e-15,7.987374370294294e-09,4.107825191113079e-15
517,518,39560,MYC,BJ,Fibroblast,Skin,4.876325405093174e-14,1.4395485246767482e-15,5.495907170879626e-13,4.163336342344337e-15
518,519,48061,BRD4,None,Endothelial Cell,Umbilical Vein,3.231901376619217e-14,1.472841845553655e-15,4.910766442022446e-12,4.3298697960381105e-15
519,520,69798,PPARG,HT29,colorectal adenocarcinoma,None,1.321802566301215e-11,1.4198573084050024e-15,1.4290992046170706e-09,4.3298697960381105e-15
520,521,36104,ESR1,None,Epithelium,Mammary Gland,4.1745483706676665e-13,1.496912605312589e-15,1.3103068902676618e-10,4.496403249731884e-15
521,522,46204,YY1,HCT-116,None,Colon,7.739171523716259e-13,1.5042391282995432e-15,5.173432420304932e-10,4.496403249731884e-15
522,523,38585,TAF3,None,Epithelium,Colon,1.0939451834728339e-12,1.5571021268095083e-15,2.218547760275718e-10,4.718447854656915e-15
523,524,69819,NELFE,MCF-7,Human Breast Cancer Cell,Breast,2.2179988462627878e-14,1.7147096644196051e-15,7.960256303556252e-13,4.718447854656915e-15
524,525,8099,MYC,HeLa,Epithelium,Cervix,1.1860207582089382e-14,1.8949697820928383e-15,3.167639047740965e-14,4.718447854656915e-15
525,526,71211,PIAS1,LNCaP,Epithelium,Prostate,3.2076305985386033e-09,1.6234918349203203e-15,6.451064877038494e-08,4.9404924595819466e-15
526,527,68777,BRD4,HCT-116,Colon cancer cell,Colon,2.7939116482718017e-14,1.7996908394849998e-15,2.3430831857801356e-13,4.9960036108132044e-15
527,528,49493,CDK7,Jurkat,T Lymphocyte,Blood,1.2610850840681402e-13,1.6742151898475521e-15,4.079822019307694e-12,5.10702591327572e-15
528,529,54014,PR,MCF-7,Epithelium,Breast,3.827443823540004e-10,1.723901783830517e-15,5.1449153439058786e-08,5.162537064506978e-15
529,530,74350,OTX2,D-341,None,None,1.7311673308263422e-12,1.7166960552491227e-15,4.2532107957972834e-10,5.162537064506978e-15
530,531,33198,MED1,U87,None,Brain,3.8379774708771045e-11,1.793899248421186e-15,1.9135271595579272e-07,5.384581669432009e-15
531,532,52432,WDR5,HEK293,Epithelium,Embryonic Kidney,6.233149605899572e-15,2.5827458106074647e-15,1.2572110018547323e-11,5.6066262743570405e-15
532,533,33504,ESR1,MCF-7,Epithelium,Breast,5.843200919745051e-10,1.943296219940886e-15,8.700050703626862e-07,5.773159728050814e-15
533,534,43395,AR,LNCaP,Epithelium,Prostate,5.882971917863771e-09,1.903819320657116e-15,1.9619102786068374e-07,5.773159728050814e-15
534,535,45932,GTF2B,K562,Erythroblast,Bone Marrow,1.1448892975180055e-14,2.3980418496350022e-15,1.0764812791757442e-13,5.88418203051333e-15
535,536,2282,E2F1,MCF-7,Epithelium,Breast,2.128094149644289e-11,1.9992033140581798e-15,2.422427224681255e-10,5.995204332975845e-15
536,537,45737,GTF2F1,HeLa-S3,Epithelium,Cervix,2.2287701655923553e-10,2.07837282293748e-15,7.363450768201536e-09,6.217248937900877e-15
537,538,75045,FOSL1,MDA-MB-231,None,Breast,3.4505132385723777e-12,2.0711271904929465e-15,4.2214552846735667e-10,6.217248937900877e-15
538,539,55297,TEAD4,MDA-MB-231,Epithelium,Breast,3.6580144638078245e-13,2.136110819593324e-15,2.663575720289817e-11,6.38378239159465e-15
539,540,63829,FOSL2,A549,Epithelium,Lung,9.85515347162976e-13,2.115907484037538e-15,6.762947164279007e-11,6.439293542825908e-15
540,541,62753,FOSL2,A549,Epithelium,Lung,1.3550514559653516e-13,2.1690061831317676e-15,2.199429753463781e-12,6.494804694057166e-15
541,542,69365,FOXA1,LNCaP,Epithelium,Prostate,1.2291583581450064e-09,2.1850978074272946e-15,6.457534482894864e-07,6.661338147750939e-15
542,543,74343,NEUROD1,D283 Med,None,None,1.117936564352131e-11,2.2277002450475796e-15,2.698289594100418e-09,6.661338147750939e-15
543,544,46230,CEBPD,HepG2,Epithelium,Liver,5.699082588504982e-14,2.3411165202663107e-15,3.5506767904987467e-11,6.772360450213455e-15
544,545,50414,KLF11,hMADS-3,Adipocyte,Adipose,1.0589647856146511e-12,2.2712990547585816e-15,1.2880782330303325e-09,6.8833827526759706e-15
545,546,46099,NR3C1,ECC-1,Epithelium,Endometrium,8.646153479231241e-13,2.3313192192228516e-15,4.567441716051094e-11,7.049916206369744e-15
546,547,67518,GATA3,MDA-MB-231,Epithelium,Mammary Gland,1.7025254538489467e-08,2.356548528787971e-15,2.5292996612021952e-06,7.049916206369744e-15
547,548,43066,BRD4,HEK293T,Epithelium,Embryonic Kidney,1.472260411405014e-14,2.8533052452566337e-15,7.476892954088945e-12,7.16093850883226e-15
548,549,46215,SP1,HCT-116,None,Colon,8.444689581518305e-14,2.4890988290333953e-15,1.8263154553079609e-10,7.271960811294775e-15
549,550,55518,ATF4,HAP-1,None,None,7.202807827839272e-12,2.454019867679307e-15,1.112150709439411e-09,7.494005416219807e-15
550,551,56668,HOXB13,LHSAR,Epithelium,Prostate,1.437803107404631e-10,2.5796472570931826e-15,9.005048787143895e-07,7.716050021144838e-15
551,552,46001,MYC,MCF-10A,Epithelium,Breast,8.814994562141851e-10,2.683628804878416e-15,1.42264911114818e-07,8.104628079763643e-15
552,553,46355,ELF1,SK-N-SH,Neuroblastoma cell,Brain,3.6181729626048478e-12,2.6720960949003705e-15,8.895591807208701e-10,8.104628079763643e-15
553,554,68857,FOXA1,ZR-75-1,Embryonic Stem Cell,Breast,1.0072582155321347e-09,2.6977264787980864e-15,9.246995808533431e-07,8.104628079763643e-15
554,555,74342,NEUROD1,D283 Med,None,None,6.554848701579164e-13,2.758021000636598e-15,2.541763741297387e-10,8.271161533457416e-15
555,556,54015,PR,MCF-7,Epithelium,Breast,2.0722001154778024e-09,2.817056765970043e-15,1.4454437773144534e-07,8.548717289613705e-15
556,557,58844,XRN2,HEK293,Epithelium,Embryonic Kidney,4.2453389500495596e-13,2.8877000348343116e-15,1.738703227699312e-11,8.715250743307479e-15
557,558,71204,PIAS1,LNCaP,Epithelium,Prostate,2.0938757074014737e-08,2.8825361290188763e-15,2.932254724589667e-06,8.770761894538737e-15
558,559,58636,MED1,LNCaP-abl,Epithelium,Prostate,3.6098974688048546e-14,3.2965980927449964e-15,6.239953225500992e-13,8.992806499463768e-15
559,560,41831,ZBTB17,MDA-MD-231,Epithelium,Mammary Gland,7.456909381639888e-11,3.0639917999929275e-15,1.2661867704442403e-09,9.2148511043888e-15
560,561,46070,MAX,A549,Epithelium,Lung,4.923268873422013e-12,3.181327470991927e-15,1.7674290227133964e-09,9.603429163007604e-15
561,562,33135,ESR1,MCF-7,Epithelium,Breast,1.0833678724023849e-10,3.1937188383731653e-15,1.0429462385041142e-06,9.825473767932635e-15
562,563,76811,NEUROG2,None,Fibroblast,Fetal Lung,1.1565369212213757e-11,3.2683348308350703e-15,8.73573529040541e-10,9.825473767932635e-15
563,564,65116,FEZF1,HEK293,Epithelium,Embryonic Kidney,2.2887010051839196e-11,3.354960360427268e-15,2.6763957305233144e-09,1.0047518372857667e-14
564,565,69816,NELFE,MCF-7,Human Breast Cancer Cell,Breast,2.086842983146509e-13,3.5236257638264885e-15,8.130339270520318e-12,1.0269562977782698e-14
